"parameter_cd","group","parm_nm","epa_equivalence","result_statistical_basis","result_time_basis","result_weight_basis","result_particle_size_basis","result_sample_fraction","result_temperature_basis","CASRN","SRSName","parm_unit"
"49371","Organics, Pesticide","Dieldrin, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","60-57-1","Dieldrin","ug/kg"
"49372","Organics, Pesticide","p,p'-DDE, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","72-55-9","p,p'-DDE","ug/kg"
"49373","Organics, Pesticide","o,p'-DDE, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","3424-82-6","o,p'-DDE","ug/kg"
"49374","Organics, Pesticide","o,p'-DDD, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","53-19-0","o,p'-DDD","ug/kg"
"49375","Organics, Pesticide","p,p'-DDD, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","72-54-8","p,p'-DDD","ug/kg"
"49376","Organics, Pesticide","p,p'-DDT, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","50-29-3","p,p'-DDT","ug/kg"
"49377","Organics, Pesticide","o,p'-DDT, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","789-02-6","o,p'-DDT","ug/kg"
"49378","Organics, Pesticide","DCPA, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","1861-32-1","Chlorthal-dimethyl","ug/kg"
"49379","Organics, Pesticide","trans-Chlordane, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","5103-74-2","trans-Chlordane","ug/kg"
"49380","Organics, Pesticide","cis-Chlordane, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","5103-71-9","cis-Chlordane","ug/kg"
"49381","Organics, Other","Di-n-butyl phthalate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","84-74-2","Dibutyl phthalate","ug/kg"
"49382","Organics, Other","Di-n-octyl phthalate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","117-84-0","Di-n-octyl phthalate","ug/kg"
"49383","Organics, Other","Diethyl phthalate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","84-66-2","Diethyl phthalate","ug/kg"
"49384","Organics, Other","Dimethyl phthalate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","131-11-3","Dimethyl phthalate","ug/kg"
"49387","Organics, Other","Pyrene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","129-00-0","Pyrene","ug/kg"
"49388","Organics, Other","1-Methylpyrene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","2381-21-7","1-Methylpyrene","ug/kg"
"49389","Organics, Other","Benzo[a]pyrene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","50-32-8","Benzo[a]pyrene","ug/kg"
"49390","Organics, Other","Indeno[1,2,3-cd]pyrene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","193-39-5","Indeno[1,2,3-cd]pyrene","ug/kg"
"49391","Organics, Other","2,2'-Biquinoline, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","119-91-5","2,2'-Biquinoline","ug/kg"
"49392","Organics, Other","Quinoline, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","91-22-5","Quinoline","ug/kg"
"49393","Organics, Other","Phenanthridine, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","229-87-8","Phenanthridine","ug/kg"
"49394","Organics, Other","Isoquinoline, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","119-65-3","Isoquinoline","ug/kg"
"49395","Organics, Other","2,4-Dinitrotoluene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","121-14-2","2,4-Dinitrotoluene","ug/kg"
"49396","Organics, Other","2,6-Dinitrotoluene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","606-20-2","2,6-Dinitrotoluene","ug/kg"
"49397","Organics, Other","Benzo[k]fluoranthene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","207-08-9","Benzo[k]fluoranthene","ug/kg"
"49398","Organics, Other","1-Methyl-9H-fluorene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","1730-37-6","1-Methylfluorene","ug/kg"
"49399","Organics, Other","9H-Fluorene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","86-73-7","Fluorene","ug/kg"
"49400","Organics, Other","Isophorone, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","78-59-1","Isophorone","ug/kg"
